Comment,Toxic
"Honestly, Keep up the good work. fantastic That's all.",0
"Honestly, I learned something new today. excellent That's all.",0
I think Great presentation. excellent,0
"Seriously, Looking forward to more videos. helpful That's all.",0
"In my opinion, This made my day. creative That's all.",0
"Honestly, Brilliant idea. fantastic Have a nice day.",0
I think You did a great job. Keep it up.,0
I think You did a great job. kind Thanks!,0
"Seriously, Fantastic work. Have a nice day.",0
"In my opinion, Worst content ever. Please improve.",1
"In my opinion, I completely agree with your opinion. impressive Please improve.",0
"Seriously, Pathetic work. Thanks!",1
I think You are an idiot.,1
"Personally, I completely agree with your opinion. fantastic Better luck next time.",0
"In my opinion, This tutorial is very useful. kind That's all.",0
"Seriously, This is nonsense. ridiculous",1
"In my opinion, Your ideas are terrible. Thanks!",1
"Seriously, You did a great job. Thanks!",0
"Seriously, What a waste. Keep it up.",1
"In my opinion, You are a loser. Have a nice day.",1
I think You are so dumb. Have a nice day.,1
"Honestly, Well explained. creative Have a nice day.",0
"In my opinion, Fantastic work. nice Thanks!",0
I think Great presentation. Thanks!,0
Shut up. That's all.,1
"Seriously, This is the dumbest thing I've seen. Everyone agrees.",1
"Seriously, This is nonsense. awful Keep it up.",1
"Personally, Your ideas are terrible. That's all.",1
Stop posting rubbish. fool Thanks!,1
I think You make no sense. awful Have a nice day.,1
You are stupid. annoying That's all.,1
"Personally, Thank you for your help. smart Keep it up.",0
"Seriously, You should quit. dumb Have a nice day.",1
"Seriously, Wonderful project. That's all.",0
This tutorial is very useful. smart That's all.,0
Excellent explanation. smart Keep it up.,0
"Personally, Brilliant idea. excellent Everyone agrees.",0
"Personally, You did a great job. That's all.",0
"Honestly, You should quit. horrible Everyone agrees.",1
"Honestly, What a waste. Thanks!",1
"Honestly, Worst content ever. ridiculous That's all.",1
"Honestly, This is garbage. ridiculous Please improve.",1
"Honestly, Stop posting rubbish. Have a nice day.",1
"Personally, Thank you for your help. That's all.",0
"Seriously, This is garbage. loser Better luck next time.",1
"Honestly, Well explained. nice Please improve.",0
"Honestly, Very informative content. nice",0
"Personally, Fantastic work. fantastic",0
"Personally, Brilliant idea. valuable Thanks!",0
"Seriously, You are completely useless. stupid Keep it up.",1
I think You did a great job. That's all.,0
"Honestly, I completely agree with your opinion. good Have a nice day.",0
"In my opinion, Terrible explanation. trash Better luck next time.",1
"Honestly, You make no sense. dumb Keep it up.",1
"Honestly, You are stupid. That's all.",1
"In my opinion, Your work is outstanding. Thanks!",0
"Honestly, You are an idiot. awful Everyone agrees.",1
You make no sense. That's all.,1
I think This is garbage. Have a nice day.,1
"In my opinion, You are so dumb. Have a nice day.",1
Absolutely ridiculous. Keep it up.,1
"Honestly, You are completely useless. Everyone agrees.",1
"Honestly, I learned something new today. nice Everyone agrees.",0
"Personally, You are a loser. useless That's all.",1
"Honestly, I completely agree with your opinion. Keep it up.",0
"In my opinion, This is the dumbest thing I've seen. Everyone agrees.",1
"Seriously, This is garbage. garbage Thanks!",1
"Seriously, You are an idiot. useless Thanks!",1
I think You are so dumb. pathetic Have a nice day.,1
I think This tutorial is very useful. good Have a nice day.,0
"Personally, Looking forward to more videos. awesome Keep it up.",0
"Honestly, I really appreciate your effort. good Better luck next time.",0
"Honestly, Absolutely ridiculous. Keep it up.",1
"Honestly, Stop posting rubbish. Keep it up.",1
Your ideas are terrible. Keep it up.,1
I completely agree with your opinion. Thanks!,0
"Honestly, You are an inspiration. brilliant Keep it up.",0
Excellent explanation. valuable Have a nice day.,0
"Honestly, Thank you for your help. Thanks!",0
"Personally, I really appreciate your effort. polite Have a nice day.",0
"Honestly, Your ideas are terrible. Keep it up.",1
I think Wonderful project. Better luck next time.,0
"Seriously, You are an inspiration. creative That's all.",0
"Honestly, You should quit. stupid That's all.",1
"Seriously, Your ideas are terrible. horrible Thanks!",1
I think This made my day. Keep it up.,0
Pathetic work. ridiculous Thanks!,1
"Honestly, Fantastic work. perfect Everyone agrees.",0
"In my opinion, Absolutely ridiculous. trash Have a nice day.",1
"Honestly, Well explained. smart Please improve.",0
"Personally, Keep up the good work. excellent Better luck next time.",0
"Personally, Your work is outstanding. awesome",0
Brilliant idea. awesome Thanks!,0
"In my opinion, Stop posting rubbish. idiot Please improve.",1
"In my opinion, You are so dumb. dumb Thanks!",1
"Personally, This is garbage. awful Keep it up.",1
I think You are an idiot. garbage Thanks!,1
"Personally, I completely agree with your opinion. creative Everyone agrees.",0
"In my opinion, You are so dumb. awful Keep it up.",1
"In my opinion, Excellent explanation. excellent That's all.",0
Stop posting rubbish. useless Have a nice day.,1
"In my opinion, I completely agree with your opinion. creative",0
You are an inspiration. wonderful Better luck next time.,0
I think Fantastic work. Everyone agrees.,0
I think You are stupid. Keep it up.,1
"Personally, Excellent explanation. awesome Have a nice day.",0
"Seriously, This is the dumbest thing I've seen. idiot That's all.",1
"Seriously, You are a loser. fool",1
"Honestly, You make no sense. Better luck next time.",1
"Personally, You are an idiot. Keep it up.",1
"In my opinion, This tutorial is very useful. helpful Please improve.",0
"Seriously, Your work is outstanding. excellent Better luck next time.",0
I think I learned something new today. smart Keep it up.,0
"Seriously, You did a great job. perfect Keep it up.",0
You are an inspiration. awesome,0
"Personally, Nobody likes you. useless That's all.",1
"Personally, You make no sense. dumb Keep it up.",1
Nobody likes you. That's all.,1
"Seriously, Wonderful project. Keep it up.",0
I think Pathetic work. nonsense,1
"Personally, Fantastic work. creative Please improve.",0
This is amazing. fantastic Please improve.,0
"Personally, This is nonsense. awful Better luck next time.",1
"Personally, You should quit. stupid Keep it up.",1
"In my opinion, Pathetic work. loser Thanks!",1
"Honestly, Pathetic work. dumb Better luck next time.",1
"Honestly, Thank you for your help. Have a nice day.",0
"Honestly, Your work is outstanding. perfect",0
"In my opinion, You are very talented. creative Thanks!",0
Fantastic work. fantastic Thanks!,0
"In my opinion, Your work is outstanding. Thanks!",0
This is nonsense. Thanks!,1
"Personally, Very informative content. Everyone agrees.",0
"In my opinion, Thank you for your help. smart Have a nice day.",0
"Seriously, You know nothing. Everyone agrees.",1
"Seriously, Looking forward to more videos. Have a nice day.",0
"In my opinion, You know nothing. awful Better luck next time.",1
"In my opinion, You are so dumb. idiot",1
"In my opinion, This made my day. good Please improve.",0
"Honestly, This is nonsense. awful Everyone agrees.",1
Well explained. Everyone agrees.,0
I think Excellent explanation. helpful Please improve.,0
This tutorial is very useful. kind Keep it up.,0
"Honestly, Very informative content. excellent Thanks!",0
"Seriously, This tutorial is very useful. excellent Better luck next time.",0
"In my opinion, Your work is outstanding. good Everyone agrees.",0
Shut up. Thanks!,1
I think This is nonsense. stupid Please improve.,1
Fantastic work. good,0
"Seriously, Nobody likes you. dumb",1
I think You are an idiot. Everyone agrees.,1
I think You are so dumb. dumb Thanks!,1
"Personally, You are very talented. That's all.",0
"Honestly, Great presentation. Please improve.",0
"Seriously, You should quit. Everyone agrees.",1
"In my opinion, Keep up the good work. good Better luck next time.",0
"Personally, Nobody likes you. Keep it up.",1
"In my opinion, What a waste. awful",1
This made my day. brilliant Keep it up.,0
"Seriously, This is garbage. fool Better luck next time.",1
Wonderful project. Keep it up.,0
"In my opinion, Fantastic work. Keep it up.",0
"Honestly, I really appreciate your effort. polite Thanks!",0
I think Shut up. fool Please improve.,1
I think You did a great job. Keep it up.,0
"Honestly, This is garbage. nonsense Have a nice day.",1
"Seriously, You are stupid. Thanks!",1
"Personally, Fantastic work. Better luck next time.",0
Great presentation. impressive Everyone agrees.,0
"Seriously, You are very talented.",0
"Personally, You are completely useless. Better luck next time.",1
I think Shut up. awful Better luck next time.,1
I think Thank you for your help. kind That's all.,0
You are an inspiration. polite Have a nice day.,0
"Seriously, You make no sense. garbage Keep it up.",1
"Honestly, This is nonsense. That's all.",1
I think I really appreciate your effort. Everyone agrees.,0
I think You should quit. useless Have a nice day.,1
"Honestly, You should quit. fool Please improve.",1
"Seriously, Fantastic work. That's all.",0
"Honestly, This is nonsense. ridiculous Thanks!",1
"Personally, Brilliant idea. Everyone agrees.",0
"Seriously, Brilliant idea. That's all.",0
"Honestly, Shut up. trash Have a nice day.",1
I think Wonderful project. valuable Have a nice day.,0
"In my opinion, Terrible explanation. dumb Please improve.",1
"Seriously, You are a loser. nonsense Have a nice day.",1
"Personally, Very informative content. Thanks!",0
"Honestly, This tutorial is very useful. excellent Everyone agrees.",0
This is amazing. good Everyone agrees.,0
"In my opinion, Looking forward to more videos. polite Keep it up.",0
"In my opinion, You are an idiot. stupid Better luck next time.",1
This is nonsense. Keep it up.,1
"In my opinion, This is the dumbest thing I've seen. trash Have a nice day.",1
"Seriously, Well explained. Better luck next time.",0
"Seriously, Well explained. awesome Better luck next time.",0
You know nothing. pathetic Thanks!,1
"Personally, This is amazing. That's all.",0
I think Looking forward to more videos. Have a nice day.,0
This tutorial is very useful. Have a nice day.,0
"Honestly, Worst content ever. Everyone agrees.",1
This is garbage. trash That's all.,1
"Seriously, Wonderful project. impressive Everyone agrees.",0
"Personally, You are so dumb. Have a nice day.",1
"In my opinion, This is nonsense. dumb Better luck next time.",1
"Honestly, This is amazing.",0
"Personally, Fantastic work. creative Thanks!",0
"Personally, You did a great job. nice Everyone agrees.",0
I think Great presentation. valuable,0
"Honestly, What a waste. stupid Have a nice day.",1
"Personally, This made my day. perfect Please improve.",0
"In my opinion, You did a great job. That's all.",0
I think You are very talented. Thanks!,0
"Personally, Thank you for your help. good Better luck next time.",0
"Seriously, You are very talented. impressive Keep it up.",0
"Seriously, You are an idiot. dumb Have a nice day.",1
I think I really appreciate your effort. Everyone agrees.,0
"Honestly, You should quit. worst Keep it up.",1
"In my opinion, This tutorial is very useful. awesome Keep it up.",0
"In my opinion, Fantastic work. impressive Thanks!",0
"In my opinion, Pathetic work. That's all.",1
"Personally, Shut up. Thanks!",1
"In my opinion, You make no sense. pathetic Have a nice day.",1
"Seriously, Thank you for your help. Thanks!",0
"In my opinion, You are a loser.",1
"Personally, Pathetic work. Thanks!",1
Thank you for your help. Better luck next time.,0
"Personally, Your work is outstanding. good Please improve.",0
"In my opinion, I completely agree with your opinion. polite That's all.",0
"Personally, You are stupid. fool Keep it up.",1
"In my opinion, Keep up the good work. brilliant Better luck next time.",0
I think Looking forward to more videos. nice Everyone agrees.,0
"Seriously, You are an idiot.",1
"Seriously, You are stupid. Thanks!",1
"Seriously, I learned something new today. perfect Thanks!",0
I really appreciate your effort. helpful Better luck next time.,0
I think You are stupid. fool Keep it up.,1
"Personally, I completely agree with your opinion. Have a nice day.",0
I think This is garbage. Have a nice day.,1
"Seriously, This tutorial is very useful. good Thanks!",0
I think You make no sense. Everyone agrees.,1
"Honestly, Nobody likes you. pathetic Better luck next time.",1
I think I completely agree with your opinion. Thanks!,0
You are stupid. idiot Have a nice day.,1
"Personally, I learned something new today. smart Everyone agrees.",0
I think You are very talented. creative Please improve.,0
"Personally, This is the dumbest thing I've seen. Thanks!",1
"Honestly, Keep up the good work. Have a nice day.",0
I think Terrible explanation. Thanks!,1
"Seriously, Stop posting rubbish. Everyone agrees.",1
"Seriously, You are an idiot. trash Better luck next time.",1
"Honestly, Well explained. excellent Everyone agrees.",0
"In my opinion, Wonderful project. creative Keep it up.",0
I think You are so dumb. Have a nice day.,1
"Personally, This is garbage. Keep it up.",1
"Honestly, This is garbage. Thanks!",1
"Personally, Very informative content.",0
"Honestly, This is garbage. garbage",1
"In my opinion, Your ideas are terrible. Everyone agrees.",1
"In my opinion, Well explained. helpful Everyone agrees.",0
Thank you for your help. helpful,0
I think Nobody likes you. stupid Have a nice day.,1
I think This made my day. Have a nice day.,0
You did a great job. Please improve.,0
"In my opinion, This tutorial is very useful. Everyone agrees.",0
I think I really appreciate your effort. perfect Keep it up.,0
"Seriously, Shut up. That's all.",1
This made my day. awesome That's all.,0
"In my opinion, This tutorial is very useful. creative Thanks!",0
"Personally, Excellent explanation. Have a nice day.",0
I learned something new today. creative Have a nice day.,0
Wonderful project. Have a nice day.,0
I think This is nonsense. useless Everyone agrees.,1
"Seriously, You should quit. annoying",1
"Seriously, You are so dumb. Please improve.",1
"In my opinion, I learned something new today. nice",0
"In my opinion, What a waste. fool Please improve.",1
"In my opinion, You should quit. annoying Please improve.",1
"In my opinion, Keep up the good work. wonderful That's all.",0
"Honestly, Excellent explanation. Better luck next time.",0
"Personally, You should quit. loser Thanks!",1
I think Excellent explanation. awesome Better luck next time.,0
You are an idiot. worst Better luck next time.,1
"Seriously, Terrible explanation. useless Have a nice day.",1
"Honestly, Shut up. Keep it up.",1
I think Thank you for your help. Please improve.,0
"Seriously, You should quit. stupid Have a nice day.",1
"Personally, You are completely useless. stupid Everyone agrees.",1
"Honestly, This is the dumbest thing I've seen. dumb Have a nice day.",1
I think Worst content ever. ridiculous Please improve.,1
"Personally, Terrible explanation. horrible That's all.",1
I think Your work is outstanding. Have a nice day.,0
"Personally, Brilliant idea. creative That's all.",0
This is the dumbest thing I've seen. nonsense That's all.,1
I learned something new today. Have a nice day.,0
"In my opinion, Fantastic work. smart Have a nice day.",0
"Honestly, This tutorial is very useful. brilliant Everyone agrees.",0
"In my opinion, This tutorial is very useful. creative Better luck next time.",0
"In my opinion, Shut up. garbage Have a nice day.",1
I think Your work is outstanding. wonderful Please improve.,0
"In my opinion, This is amazing. wonderful That's all.",0
"Seriously, You should quit. Better luck next time.",1
"Honestly, Looking forward to more videos. That's all.",0
I think I really appreciate your effort. awesome Everyone agrees.,0
"Honestly, You know nothing. Better luck next time.",1
Great presentation. helpful Better luck next time.,0
"Honestly, Keep up the good work. Thanks!",0
"In my opinion, Well explained. creative That's all.",0
"Seriously, What a waste. ridiculous Keep it up.",1
"Personally, Brilliant idea. Everyone agrees.",0
"Seriously, You are an idiot. horrible Keep it up.",1
"Honestly, You are an inspiration. awesome Everyone agrees.",0
"Personally, Your work is outstanding. valuable Keep it up.",0
"In my opinion, Your ideas are terrible. Everyone agrees.",1
Excellent explanation. Please improve.,0
"In my opinion, You make no sense. awful Everyone agrees.",1
"In my opinion, Brilliant idea. Better luck next time.",0
"In my opinion, Brilliant idea. Please improve.",0
"Personally, I completely agree with your opinion. Better luck next time.",0
I think You did a great job. good Keep it up.,0
"Honestly, Absolutely ridiculous. awful Have a nice day.",1
"Seriously, Great presentation. Please improve.",0
"Personally, Your ideas are terrible. garbage",1
"Seriously, Keep up the good work. That's all.",0
"Honestly, You know nothing. awful Please improve.",1
Fantastic work. wonderful Have a nice day.,0
"Honestly, Nobody likes you. Everyone agrees.",1
"In my opinion, Stop posting rubbish. annoying",1
Wonderful project.,0
"Honestly, Your ideas are terrible. That's all.",1
"Seriously, This is amazing. polite Better luck next time.",0
"Personally, You make no sense.",1
"Personally, Shut up. awful Have a nice day.",1
I completely agree with your opinion. helpful Please improve.,0
"Personally, You are so dumb. trash Thanks!",1
"Seriously, This made my day. Please improve.",0
"Personally, You are so dumb. loser Better luck next time.",1
"Personally, You are stupid. Thanks!",1
"In my opinion, You did a great job. fantastic Better luck next time.",0
"Honestly, This is amazing. That's all.",0
"Personally, Looking forward to more videos.",0
"Personally, I really appreciate your effort. brilliant Better luck next time.",0
"Personally, You are an idiot. Have a nice day.",1
"In my opinion, Well explained. brilliant",0
"Seriously, This is garbage. idiot Keep it up.",1
"Seriously, You did a great job. Better luck next time.",0
I think Your work is outstanding. perfect,0
"Seriously, Terrible explanation. Better luck next time.",1
"Seriously, Terrible explanation. awful Have a nice day.",1
"Honestly, Brilliant idea. perfect Please improve.",0
"Honestly, This made my day. polite",0
"Personally, Your ideas are terrible. pathetic Thanks!",1
"Seriously, Pathetic work. fool Please improve.",1
"Honestly, This is garbage. pathetic That's all.",1
"Seriously, Your ideas are terrible. awful",1
"Personally, You are a loser. fool Keep it up.",1
"Honestly, You should quit. ridiculous Thanks!",1
I think Fantastic work. smart That's all.,0
I think You did a great job. helpful That's all.,0
"Seriously, Terrible explanation. garbage Have a nice day.",1
I think Looking forward to more videos. Thanks!,0
"Honestly, This made my day. That's all.",0
"Seriously, Thank you for your help. Thanks!",0
"Honestly, This is garbage. Have a nice day.",1
"Personally, Wonderful project. Keep it up.",0
I think Well explained. nice Better luck next time.,0
Your ideas are terrible. horrible Thanks!,1
"In my opinion, Your work is outstanding. creative Better luck next time.",0
"Seriously, Keep up the good work. creative Thanks!",0
I think Stop posting rubbish. annoying Better luck next time.,1
You are an inspiration. Keep it up.,0
"In my opinion, You should quit. loser Have a nice day.",1
"Honestly, You are a loser. Thanks!",1
"Seriously, I really appreciate your effort. nice",0
I think You know nothing. ridiculous,1
"Honestly, I completely agree with your opinion. Have a nice day.",0
"Honestly, Fantastic work. Have a nice day.",0
"Honestly, I really appreciate your effort. kind",0
"Seriously, You are a loser. That's all.",1
"In my opinion, Your work is outstanding. excellent Have a nice day.",0
"In my opinion, Your work is outstanding. perfect Please improve.",0
This is nonsense. Have a nice day.,1
"Seriously, I really appreciate your effort. Keep it up.",0
"Honestly, Keep up the good work. Keep it up.",0
"In my opinion, You are an inspiration. awesome Better luck next time.",0
I think You make no sense. idiot That's all.,1
I think You make no sense. fool Please improve.,1
Fantastic work. nice,0
I think Terrible explanation. Everyone agrees.,1
I think Very informative content. excellent Everyone agrees.,0
I think You are an inspiration. Better luck next time.,0
I think I learned something new today. Keep it up.,0
"Personally, You are a loser. Keep it up.",1
I think I completely agree with your opinion. creative,0
"In my opinion, This made my day. polite Keep it up.",0
"In my opinion, Terrible explanation. Keep it up.",1
I think This made my day. polite,0
"Seriously, I learned something new today. creative",0
Wonderful project. Better luck next time.,0
"Seriously, This made my day. brilliant Thanks!",0
"In my opinion, I really appreciate your effort. kind Better luck next time.",0
"Seriously, Looking forward to more videos. Better luck next time.",0
"In my opinion, Terrible explanation. Better luck next time.",1
"Honestly, You make no sense. Have a nice day.",1
"Honestly, Your work is outstanding. creative Everyone agrees.",0
"In my opinion, Absolutely ridiculous. idiot Better luck next time.",1
"Honestly, Pathetic work. Have a nice day.",1
I think Your ideas are terrible. Better luck next time.,1
"Personally, What a waste. idiot Have a nice day.",1
I think I completely agree with your opinion. fantastic Thanks!,0
"In my opinion, You are so dumb. loser Everyone agrees.",1
Pathetic work. fool Please improve.,1
I think You are an idiot. Keep it up.,1
"Seriously, You should quit. Have a nice day.",1
"Seriously, Great presentation. smart Thanks!",0
"Personally, Nobody likes you. loser Thanks!",1
"In my opinion, You are a loser. fool Please improve.",1
"Honestly, Well explained. perfect Everyone agrees.",0
"In my opinion, This is amazing. smart That's all.",0
"Personally, You make no sense. Thanks!",1
"Honestly, Terrible explanation. trash Keep it up.",1
I think You are stupid. That's all.,1
"Honestly, This is garbage. horrible Please improve.",1
Looking forward to more videos. smart Thanks!,0
"Honestly, You are so dumb. awful Please improve.",1
"In my opinion, This tutorial is very useful. excellent Please improve.",0
"Honestly, Absolutely ridiculous. Keep it up.",1
"In my opinion, You are so dumb. nonsense Everyone agrees.",1
I think You are completely useless. Have a nice day.,1
Keep up the good work. awesome Keep it up.,0
"Personally, You are stupid. pathetic",1
"Honestly, Your work is outstanding. That's all.",0
You make no sense. Everyone agrees.,1
"In my opinion, You are stupid. Better luck next time.",1
Wonderful project. polite Please improve.,0
"Seriously, Fantastic work. Better luck next time.",0
"Honestly, Your work is outstanding. helpful Everyone agrees.",0
Excellent explanation. Thanks!,0
"In my opinion, You are very talented. Keep it up.",0
"In my opinion, You should quit. Keep it up.",1
I think You are an inspiration. Thanks!,0
"Personally, Brilliant idea. creative Thanks!",0
"Personally, You should quit. Please improve.",1
"Personally, Keep up the good work. smart That's all.",0
Fantastic work. smart That's all.,0
"Honestly, Thank you for your help. good",0
"Seriously, Keep up the good work. valuable Have a nice day.",0
"Seriously, Brilliant idea.",0
I think Your ideas are terrible. nonsense Better luck next time.,1
"Seriously, Worst content ever. Have a nice day.",1
"Seriously, I really appreciate your effort. polite Please improve.",0
This is the dumbest thing I've seen. Keep it up.,1
"Honestly, Very informative content. excellent Please improve.",0
Brilliant idea. Better luck next time.,0
Stop posting rubbish. Keep it up.,1
"Honestly, Terrible explanation.",1
"Honestly, Fantastic work. Thanks!",0
"Seriously, You did a great job. brilliant Have a nice day.",0
"In my opinion, Very informative content. good Have a nice day.",0
"Honestly, I really appreciate your effort. Keep it up.",0
You did a great job. Thanks!,0
"In my opinion, You did a great job. smart Keep it up.",0
I think This made my day. valuable Have a nice day.,0
"In my opinion, Thank you for your help. Thanks!",0
Brilliant idea. helpful,0
"Honestly, You are so dumb. fool Everyone agrees.",1
"Personally, Wonderful project. awesome Please improve.",0
"Honestly, Keep up the good work. Please improve.",0
I think You are very talented. perfect Keep it up.,0
I think Looking forward to more videos. excellent,0
I think You are so dumb. Thanks!,1
You make no sense. ridiculous That's all.,1
"Personally, This is nonsense. Everyone agrees.",1
"Personally, This tutorial is very useful. excellent Keep it up.",0
"Honestly, Nobody likes you. Everyone agrees.",1
"Personally, This made my day. impressive",0
"Personally, Worst content ever. loser Keep it up.",1
I think Stop posting rubbish. Keep it up.,1
"Seriously, You did a great job. Better luck next time.",0
"Honestly, Looking forward to more videos. perfect Have a nice day.",0
"Honestly, This is garbage. ridiculous",1
"Honestly, You are stupid. Everyone agrees.",1
"Personally, Pathetic work. loser That's all.",1
"Honestly, Excellent explanation. brilliant Everyone agrees.",0
"Honestly, Fantastic work. polite Everyone agrees.",0
"Honestly, Terrible explanation. awful Everyone agrees.",1
"Honestly, You are very talented. Keep it up.",0
Excellent explanation. polite Thanks!,0
"Personally, I completely agree with your opinion. awesome Better luck next time.",0
"Seriously, Looking forward to more videos. nice Keep it up.",0
I think Absolutely ridiculous. dumb That's all.,1
"Honestly, You are so dumb. horrible Everyone agrees.",1
"Seriously, Pathetic work. garbage Thanks!",1
"Personally, Absolutely ridiculous. awful Please improve.",1
"Honestly, What a waste. dumb Keep it up.",1
"Seriously, You are very talented. helpful Keep it up.",0
"In my opinion, You are an idiot. idiot Keep it up.",1
I think Terrible explanation. useless,1
What a waste. Everyone agrees.,1
What a waste. idiot Please improve.,1
This is nonsense. Have a nice day.,1
"Seriously, You are an idiot. fool Have a nice day.",1
"Seriously, Shut up. That's all.",1
"In my opinion, You know nothing. nonsense Please improve.",1
I think You are completely useless. horrible Thanks!,1
"Honestly, Terrible explanation.",1
I think You are stupid. Thanks!,1
"Personally, Very informative content. awesome Everyone agrees.",0
"In my opinion, Pathetic work. stupid Please improve.",1
"Honestly, Nobody likes you.",1
"In my opinion, Worst content ever. awful Better luck next time.",1
Looking forward to more videos. smart That's all.,0
"Personally, I learned something new today. Everyone agrees.",0
I think Stop posting rubbish. Have a nice day.,1
"Personally, You should quit. annoying Everyone agrees.",1
"In my opinion, You are very talented. Everyone agrees.",0
I learned something new today. Better luck next time.,0
"In my opinion, This is garbage. annoying Thanks!",1
"Honestly, I really appreciate your effort. fantastic Thanks!",0
You are an idiot. idiot That's all.,1
"Personally, This is the dumbest thing I've seen. stupid Everyone agrees.",1
"Seriously, Keep up the good work. good Keep it up.",0
I think You are stupid. nonsense Thanks!,1
"Honestly, Your ideas are terrible. fool Everyone agrees.",1
"Personally, Nobody likes you. trash Keep it up.",1
Looking forward to more videos. smart That's all.,0
Very informative content. helpful Thanks!,0
"Seriously, You are an idiot. Thanks!",1
I think You are a loser. Better luck next time.,1
"Personally, Looking forward to more videos. Please improve.",0
This is garbage. Better luck next time.,1
"Honestly, Your work is outstanding. excellent",0
I think Terrible explanation. Better luck next time.,1
"Seriously, Wonderful project. impressive Have a nice day.",0
You did a great job. valuable That's all.,0
Great presentation. Keep it up.,0
"Seriously, Absolutely ridiculous. horrible",1
"Honestly, This tutorial is very useful. Thanks!",0
"In my opinion, You are an inspiration. Everyone agrees.",0
I think Your work is outstanding. That's all.,0
"Honestly, This is garbage. awful That's all.",1
"Honestly, Excellent explanation. perfect",0
"Honestly, You did a great job. valuable That's all.",0
"In my opinion, Excellent explanation. fantastic Thanks!",0
"Personally, This tutorial is very useful.",0
Fantastic work. Better luck next time.,0
"Seriously, Well explained. That's all.",0
