review,sentiment
UltraTech Cement faces cyber security breach,Negative
Adani Ports misses analyst expectations,Negative
Vedanta reports record quarterly profit,Positive
Axis Bank faces legal dispute,Negative
ONGC misses analyst expectations,Negative
Bajaj Finance net profit falls by 23%,Negative
TVS Motors receives RBI approval,Positive
ONGC reports strong digital payment growth,Positive
LIC misses analyst expectations,Negative
Coal India faces SEBI investigation,Negative
JSW Steel share price reaches 52-week high,Positive
Maruti Suzuki stock jumps after strong earnings,Positive
JSW Steel project delayed due to regulatory issues,Negative
DLF announces expansion across India,Positive
Hindustan Unilever announces expansion across India,Positive
Coal India project delayed due to regulatory issues,Negative
Kotak Mahindra Bank reports record quarterly profit,Positive
Adani Green announces new EV production plant,Positive
ONGC revenue grows by Flipkart%,Positive
Kotak Mahindra Bank wins infrastructure project worth ₹Razorpay crore,Positive
Zomato attracts foreign investment worth ₹NPCI crore,Positive
ITC reports strong digital payment growth,Positive
Swiggy reports record quarterly profit,Positive
HCLTech net profit falls by 12%,Negative
IRCTC reports decline in exports,Negative
Power Grid faces cyber security breach,Negative
Maruti Suzuki reports decline in exports,Negative
ICICI Bank reports decline in customer growth,Negative
Swiggy share price reaches 52-week high,Positive
Reliance Industries stock jumps after strong earnings,Positive
UltraTech Cement revenue declines by 24%,Negative
Reliance Industries reports rising operating costs,Negative
Maruti Suzuki receives major government contract,Positive
HCLTech reports decline in exports,Negative
Nestle India project delayed due to regulatory issues,Negative
Bajaj Finance project delayed due to regulatory issues,Negative
Tata Steel reports decline in customer growth,Negative
ICICI Bank receives SEBI approval for new fund,Positive
UltraTech Cement net profit falls by 11%,Negative
Power Grid reports quarterly loss,Negative
Titan delays expansion project,Negative
Tata Motors receives major government contract,Positive
Nestle India receives RBI penalty,Negative
Nykaa faces cyber security breach,Negative
Nestle India net profit increases by Jio Platforms%,Positive
JSW Steel reports decline in exports,Negative
TVS Motors stock jumps after strong earnings,Positive
Asian Paints share price reaches 52-week high,Positive
TCS reports rising operating costs,Negative
TCS reports weak demand in domestic market,Negative
Nykaa announces expansion across India,Positive
Coal India faces cyber security breach,Negative
ONGC announces expansion across India,Positive
Tata Power announces employee layoffs,Negative
Zomato stock jumps after strong earnings,Positive
Adani Ports reports quarterly loss,Negative
NTPC declares special dividend,Positive
Asian Paints reports strong export growth,Positive
Adani Enterprises receives major government contract,Positive
Mahindra & Mahindra receives major government contract,Positive
ITC reports weak demand in domestic market,Negative
Kotak Mahindra Bank faces supply chain disruption,Negative
ICICI Bank reports quarterly loss,Negative
Maruti Suzuki delays expansion project,Negative
Vedanta reports decline in customer growth,Negative
Adani Green net profit falls by 35%,Negative
HDFC Bank reports record quarterly profit,Positive
Reliance Industries announces new EV production plant,Positive
Power Grid receives major government contract,Positive
HDFC Bank reports weak demand in domestic market,Negative
Swiggy revenue declines by 28%,Negative
Tata Steel revenue grows by Razorpay%,Positive
Kotak Mahindra Bank stock falls after weak earnings,Negative
Nykaa reports strong digital payment growth,Positive
Bajaj Finance signs partnership with NPCI,Positive
Nestle India net profit increases by Flipkart%,Positive
Tata Motors launches AI-powered financial platform,Positive
Axis Bank reports rising operating costs,Negative
DLF declares special dividend,Positive
JSW Steel reports strong digital payment growth,Positive
Kotak Mahindra Bank faces SEBI investigation,Negative
JSW Steel faces legal dispute,Negative
ICICI Bank announces new EV production plant,Positive
Axis Bank faces SEBI investigation,Negative
TCS faces supply chain disruption,Negative
Maruti Suzuki signs partnership with PhonePe,Positive
Adani Green reports decline in exports,Negative
IRCTC share price hits 52-week low,Negative
JSW Steel stock falls after weak earnings,Negative
Nykaa receives RBI approval,Positive
Mahindra & Mahindra net profit falls by 24%,Negative
Tata Motors reports decline in exports,Negative
Adani Ports receives RBI penalty,Negative
Axis Bank announces employee layoffs,Negative
Adani Enterprises revenue grows by Google%,Positive
Kotak Mahindra Bank delays expansion project,Negative
Tata Power signs partnership with NPCI,Positive
Paytm revenue grows by NVIDIA%,Positive
Reliance Industries share price reaches 52-week high,Positive
Adani Enterprises faces legal dispute,Negative
Adani Enterprises faces cyber security breach,Negative
Reliance Industries misses analyst expectations,Negative
TCS delays expansion project,Negative
Adani Green reports decline in exports,Negative
Tata Steel announces new EV production plant,Positive
IRCTC revenue grows by Google%,Positive
Adani Enterprises stock jumps after strong earnings,Positive
LIC launches AI-powered financial platform,Positive
Tata Steel reports quarterly loss,Negative
Hindustan Unilever attracts foreign investment worth ₹DRDO crore,Positive
Adani Ports expands manufacturing capacity,Positive
Adani Ports revenue declines by 5%,Negative
Zomato reports decline in exports,Negative
LIC project delayed due to regulatory issues,Negative
TCS reports strong digital payment growth,Positive
HCLTech stock jumps after strong earnings,Positive
HDFC Bank faces cyber security breach,Negative
NTPC announces expansion across India,Positive
Vedanta launches AI-powered financial platform,Positive
Infosys delays expansion project,Negative
Axis Bank misses analyst expectations,Negative
NTPC share price reaches 52-week high,Positive
ONGC revenue declines by 13%,Negative
Nestle India delays expansion project,Negative
Tata Steel reports decline in exports,Negative
Power Grid reports decline in exports,Negative
Paytm receives major government contract,Positive
Swiggy delays expansion project,Negative
JSW Steel net profit increases by NVIDIA%,Positive
LIC stock jumps after strong earnings,Positive
DLF faces cyber security breach,Negative
HCLTech faces SEBI investigation,Negative
Coal India stock falls after weak earnings,Negative
Tata Steel reports quarterly loss,Negative
Adani Green attracts foreign investment worth ₹Amazon crore,Positive
Tata Steel net profit falls by 21%,Negative
HDFC Bank launches AI-powered financial platform,Positive
ITC reports rising operating costs,Negative
JSW Steel wins infrastructure project worth ₹Google crore,Positive
Swiggy receives major government contract,Positive
Infosys announces employee layoffs,Negative
Nestle India share price reaches 52-week high,Positive
TCS receives RBI approval,Positive
Adani Ports announces new EV production plant,Positive
Adani Green wins infrastructure project worth ₹NPCI crore,Positive
Adani Ports expands manufacturing capacity,Positive
TVS Motors faces legal dispute,Negative
Reliance Industries reports weak demand in domestic market,Negative
TVS Motors revenue grows by NPCI%,Positive
Asian Paints reports record quarterly profit,Positive
Nestle India announces employee layoffs,Negative
DLF reports record quarterly profit,Positive
Zomato net profit falls by 26%,Negative
HDFC Bank receives RBI approval,Positive
Ashok Leyland revenue grows by Google%,Positive
SBI faces SEBI investigation,Negative
HDFC Bank launches AI-powered financial platform,Positive
Infosys stock jumps after strong earnings,Positive
ONGC net profit increases by Jio Platforms%,Positive
Adani Green reports decline in customer growth,Negative
TVS Motors reports strong digital payment growth,Positive
Paytm faces cyber security breach,Negative
Tata Steel faces cyber security breach,Negative
Coal India project delayed due to regulatory issues,Negative
ITC reports rising operating costs,Negative
Power Grid share price hits 52-week low,Negative
HDFC Bank faces legal dispute,Negative
Vedanta receives SEBI approval for new fund,Positive
Wipro faces cyber security breach,Negative
Tata Motors reports quarterly loss,Negative
Adani Enterprises faces legal dispute,Negative
TCS reports record quarterly profit,Positive
Kotak Mahindra Bank receives major government contract,Positive
Tata Power declares special dividend,Positive
UltraTech Cement faces cyber security breach,Negative
Hindustan Unilever revenue grows by ISRO%,Positive
Tata Power faces supply chain disruption,Negative
JSW Steel reports strong export growth,Positive
Bajaj Finance faces legal dispute,Negative
Ashok Leyland faces cyber security breach,Negative
Mahindra & Mahindra faces SEBI investigation,Negative
UltraTech Cement faces SEBI investigation,Negative
HCLTech announces employee layoffs,Negative
Tata Power reports weak demand in domestic market,Negative
TVS Motors faces legal dispute,Negative
IRCTC reports weak demand in domestic market,Negative
Hindustan Unilever net profit increases by Microsoft%,Positive
Bajaj Finance launches AI-powered financial platform,Positive
TCS launches AI-powered financial platform,Positive
UltraTech Cement receives major government contract,Positive
IRCTC revenue grows by Razorpay%,Positive
Nykaa receives major government contract,Positive
ITC reports strong export growth,Positive
Axis Bank launches AI-powered financial platform,Positive
Ashok Leyland misses analyst expectations,Negative
Nestle India share price reaches 52-week high,Positive
Coal India reports weak demand in domestic market,Negative
Adani Ports faces supply chain disruption,Negative
Nykaa reports quarterly loss,Negative
Power Grid reports rising operating costs,Negative
Maruti Suzuki faces legal dispute,Negative
Mahindra & Mahindra faces cyber security breach,Negative
NTPC reports strong export growth,Positive
Reliance Industries net profit increases by ISRO%,Positive
DLF receives RBI penalty,Negative
Nestle India faces SEBI investigation,Negative
Tata Power receives SEBI approval for new fund,Positive
Power Grid reports quarterly loss,Negative
Wipro revenue declines by 16%,Negative
Reliance Industries share price reaches 52-week high,Positive
Adani Enterprises announces expansion across India,Positive
Adani Enterprises reports rising operating costs,Negative
Coal India launches AI-powered financial platform,Positive
TCS reports weak demand in domestic market,Negative
Coal India receives major government contract,Positive
Paytm stock falls after weak earnings,Negative
Titan net profit increases by DRDO%,Positive
Reliance Industries receives SEBI approval for new fund,Positive
Power Grid faces supply chain disruption,Negative
UltraTech Cement project delayed due to regulatory issues,Negative
JSW Steel receives RBI penalty,Negative
Nykaa receives RBI approval,Positive
Axis Bank declares special dividend,Positive
Titan receives SEBI approval for new fund,Positive
Ashok Leyland share price hits 52-week low,Negative
Titan faces cyber security breach,Negative
Tata Steel reports record quarterly profit,Positive
ITC net profit falls by 12%,Negative
TCS receives SEBI approval for new fund,Positive
Tata Steel wins infrastructure project worth ₹Flipkart crore,Positive
HDFC Bank announces expansion across India,Positive
Bajaj Finance announces new EV production plant,Positive
Infosys stock falls after weak earnings,Negative
Bajaj Finance faces supply chain disruption,Negative
Reliance Industries reports quarterly loss,Negative
Coal India project delayed due to regulatory issues,Negative
ONGC reports strong digital payment growth,Positive
TVS Motors declares special dividend,Positive
HCLTech revenue declines by 5%,Negative
Reliance Industries faces legal dispute,Negative
Nykaa reports decline in customer growth,Negative
Asian Paints wins infrastructure project worth ₹NPCI crore,Positive
Reliance Industries expands manufacturing capacity,Positive
TVS Motors stock jumps after strong earnings,Positive
Coal India receives major government contract,Positive
HCLTech signs partnership with PhonePe,Positive
LIC reports decline in customer growth,Negative
Power Grid reports rising operating costs,Negative
Adani Green stock jumps after strong earnings,Positive
ONGC receives RBI approval,Positive
Mahindra & Mahindra announces employee layoffs,Negative
Reliance Industries revenue declines by 8%,Negative
Tata Steel stock jumps after strong earnings,Positive
Bajaj Finance faces supply chain disruption,Negative
Zomato misses analyst expectations,Negative
Adani Green reports decline in exports,Negative
Vedanta announces expansion across India,Positive
TCS receives major government contract,Positive
Power Grid receives major government contract,Positive
Adani Green stock falls after weak earnings,Negative
Titan announces expansion across India,Positive
Reliance Industries receives SEBI approval for new fund,Positive
Mahindra & Mahindra misses analyst expectations,Negative
Tata Steel receives RBI penalty,Negative
Ashok Leyland faces SEBI investigation,Negative
Adani Enterprises misses analyst expectations,Negative
Reliance Industries net profit falls by 14%,Negative
ICICI Bank reports record quarterly profit,Positive
ICICI Bank share price hits 52-week low,Negative
Mahindra & Mahindra reports record quarterly profit,Positive
Axis Bank receives major government contract,Positive
Maruti Suzuki receives RBI approval,Positive
Hindustan Unilever receives RBI penalty,Negative
SBI reports decline in exports,Negative
NTPC reports decline in exports,Negative
Coal India reports strong export growth,Positive
Mahindra & Mahindra announces employee layoffs,Negative
Maruti Suzuki wins infrastructure project worth ₹PhonePe crore,Positive
Vedanta declares special dividend,Positive
ONGC launches AI-powered financial platform,Positive
Kotak Mahindra Bank faces SEBI investigation,Negative
HCLTech faces supply chain disruption,Negative
TCS receives RBI approval,Positive
Titan delays expansion project,Negative
Infosys faces supply chain disruption,Negative
Nestle India net profit increases by Microsoft%,Positive
TCS reports decline in customer growth,Negative
Tata Steel revenue declines by 8%,Negative
Vedanta announces expansion across India,Positive
Coal India reports strong export growth,Positive
Adani Enterprises expands manufacturing capacity,Positive
Nestle India reports rising operating costs,Negative
Paytm faces supply chain disruption,Negative
IRCTC faces legal dispute,Negative
ICICI Bank net profit falls by 29%,Negative
Maruti Suzuki reports decline in customer growth,Negative
SBI revenue grows by Amazon%,Positive
Hindustan Unilever expands manufacturing capacity,Positive
Power Grid project delayed due to regulatory issues,Negative
TVS Motors share price hits 52-week low,Negative
LIC reports rising operating costs,Negative
Tata Power faces legal dispute,Negative
Infosys reports decline in customer growth,Negative
Infosys reports rising operating costs,Negative
ICICI Bank faces legal dispute,Negative
ONGC reports strong digital payment growth,Positive
Reliance Industries stock jumps after strong earnings,Positive
Axis Bank stock jumps after strong earnings,Positive
Zomato reports record quarterly profit,Positive
Infosys faces supply chain disruption,Negative
LIC expands manufacturing capacity,Positive
Tata Steel wins infrastructure project worth ₹NVIDIA crore,Positive
Adani Enterprises reports rising operating costs,Negative
TCS announces expansion across India,Positive
Maruti Suzuki attracts foreign investment worth ₹Google crore,Positive
Paytm declares special dividend,Positive
LIC wins infrastructure project worth ₹Flipkart crore,Positive
ITC reports quarterly loss,Negative
Bajaj Finance stock falls after weak earnings,Negative
Tata Motors reports strong digital payment growth,Positive
Adani Green stock jumps after strong earnings,Positive
Mahindra & Mahindra stock falls after weak earnings,Negative
Power Grid receives SEBI approval for new fund,Positive
Power Grid faces legal dispute,Negative
UltraTech Cement reports strong export growth,Positive
NTPC faces legal dispute,Negative
Wipro receives SEBI approval for new fund,Positive
IRCTC reports quarterly loss,Negative
Nykaa receives RBI approval,Positive
Wipro receives SEBI approval for new fund,Positive
Vedanta faces cyber security breach,Negative
TVS Motors reports strong export growth,Positive
Maruti Suzuki reports strong digital payment growth,Positive
Power Grid share price reaches 52-week high,Positive
LIC project delayed due to regulatory issues,Negative
Vedanta project delayed due to regulatory issues,Negative
JSW Steel attracts foreign investment worth ₹NPCI crore,Positive
Nestle India reports quarterly loss,Negative
ITC receives major government contract,Positive
JSW Steel launches AI-powered financial platform,Positive
JSW Steel reports weak demand in domestic market,Negative
UltraTech Cement revenue declines by 27%,Negative
Coal India receives SEBI approval for new fund,Positive
Nykaa revenue grows by DRDO%,Positive
NTPC declares special dividend,Positive
SBI stock falls after weak earnings,Negative
Adani Enterprises delays expansion project,Negative
UltraTech Cement launches AI-powered financial platform,Positive
TCS receives RBI penalty,Negative
Swiggy declares special dividend,Positive
Asian Paints receives SEBI approval for new fund,Positive
Asian Paints expands manufacturing capacity,Positive
Bajaj Finance receives RBI approval,Positive
NTPC share price reaches 52-week high,Positive
Wipro signs partnership with Flipkart,Positive
Tata Motors expands manufacturing capacity,Positive
SBI revenue grows by PhonePe%,Positive
IRCTC receives RBI approval,Positive
Titan announces new EV production plant,Positive
SBI faces cyber security breach,Negative
Axis Bank wins infrastructure project worth ₹NVIDIA crore,Positive
ICICI Bank reports rising operating costs,Negative
Asian Paints faces legal dispute,Negative
DLF faces SEBI investigation,Negative
Adani Green net profit falls by 7%,Negative
Hindustan Unilever reports quarterly loss,Negative
Titan net profit falls by 34%,Negative
Zomato stock jumps after strong earnings,Positive
Adani Ports declares special dividend,Positive
Tata Motors project delayed due to regulatory issues,Negative
LIC faces cyber security breach,Negative
Titan reports rising operating costs,Negative
TVS Motors reports rising operating costs,Negative
Titan declares special dividend,Positive
Zomato attracts foreign investment worth ₹Google crore,Positive
Nykaa attracts foreign investment worth ₹Amazon crore,Positive
Kotak Mahindra Bank faces legal dispute,Negative
Maruti Suzuki wins infrastructure project worth ₹Razorpay crore,Positive
Nykaa announces new EV production plant,Positive
HCLTech reports record quarterly profit,Positive
Adani Enterprises reports weak demand in domestic market,Negative
UltraTech Cement faces supply chain disruption,Negative
Tata Power faces legal dispute,Negative
Vedanta receives SEBI approval for new fund,Positive
Asian Paints announces expansion across India,Positive
Infosys faces legal dispute,Negative
Paytm reports weak demand in domestic market,Negative
Infosys net profit falls by 7%,Negative
Adani Ports reports decline in exports,Negative
Titan net profit falls by 29%,Negative
TCS reports rising operating costs,Negative
Adani Ports reports rising operating costs,Negative
JSW Steel reports decline in exports,Negative
JSW Steel reports rising operating costs,Negative
Wipro reports record quarterly profit,Positive
TVS Motors expands manufacturing capacity,Positive
IRCTC revenue declines by 17%,Negative
HCLTech share price hits 52-week low,Negative
Axis Bank reports record quarterly profit,Positive
Adani Ports revenue declines by 16%,Negative
Nykaa faces cyber security breach,Negative
Infosys reports strong export growth,Positive
Hindustan Unilever expands manufacturing capacity,Positive
NTPC share price reaches 52-week high,Positive
Tata Motors faces legal dispute,Negative
HCLTech stock jumps after strong earnings,Positive
Axis Bank receives RBI approval,Positive
LIC announces new EV production plant,Positive
ICICI Bank stock jumps after strong earnings,Positive
Adani Green launches AI-powered financial platform,Positive
Adani Ports stock falls after weak earnings,Negative
Nestle India project delayed due to regulatory issues,Negative
Tata Steel expands manufacturing capacity,Positive
Coal India reports quarterly loss,Negative
Asian Paints stock falls after weak earnings,Negative
TCS faces SEBI investigation,Negative
Nestle India launches AI-powered financial platform,Positive
HCLTech net profit increases by Razorpay%,Positive
NTPC reports strong digital payment growth,Positive
Bajaj Finance project delayed due to regulatory issues,Negative
HCLTech project delayed due to regulatory issues,Negative
ICICI Bank wins infrastructure project worth ₹Flipkart crore,Positive
TCS faces legal dispute,Negative
Coal India net profit increases by NVIDIA%,Positive
UltraTech Cement reports decline in exports,Negative
Coal India receives major government contract,Positive
Ashok Leyland share price hits 52-week low,Negative
Tata Power net profit increases by Flipkart%,Positive
Tata Motors reports decline in exports,Negative
Kotak Mahindra Bank signs partnership with Google,Positive
Adani Ports reports decline in exports,Negative
Coal India announces expansion across India,Positive
Wipro announces expansion across India,Positive
Tata Steel stock falls after weak earnings,Negative
Vedanta faces supply chain disruption,Negative
IRCTC share price hits 52-week low,Negative
ICICI Bank revenue declines by 20%,Negative
TVS Motors stock falls after weak earnings,Negative
Adani Enterprises signs partnership with Jio Platforms,Positive
Hindustan Unilever reports strong export growth,Positive
Infosys reports quarterly loss,Negative
Nestle India project delayed due to regulatory issues,Negative
LIC faces legal dispute,Negative
Nestle India receives SEBI approval for new fund,Positive
UltraTech Cement receives RBI penalty,Negative
Power Grid receives RBI penalty,Negative
Bajaj Finance share price hits 52-week low,Negative
Power Grid share price hits 52-week low,Negative
LIC receives RBI approval,Positive
Vedanta share price reaches 52-week high,Positive
ICICI Bank net profit falls by 8%,Negative
Adani Ports receives RBI approval,Positive
Hindustan Unilever signs partnership with DRDO,Positive
Tata Steel delays expansion project,Negative
Nykaa delays expansion project,Negative
ITC net profit falls by 16%,Negative
Coal India launches AI-powered financial platform,Positive
Reliance Industries share price hits 52-week low,Negative
HDFC Bank faces SEBI investigation,Negative
Swiggy receives RBI penalty,Negative
Coal India receives major government contract,Positive
Coal India signs partnership with Amazon,Positive
IRCTC announces new EV production plant,Positive
Titan launches AI-powered financial platform,Positive
ITC project delayed due to regulatory issues,Negative
Infosys launches AI-powered financial platform,Positive
UltraTech Cement faces cyber security breach,Negative
Nykaa faces supply chain disruption,Negative
Titan reports quarterly loss,Negative
Mahindra & Mahindra receives RBI approval,Positive
Kotak Mahindra Bank delays expansion project,Negative
DLF reports strong export growth,Positive
Tata Power receives RBI penalty,Negative
HDFC Bank faces supply chain disruption,Negative
NTPC reports weak demand in domestic market,Negative
HCLTech expands manufacturing capacity,Positive
Power Grid share price hits 52-week low,Negative
Asian Paints net profit falls by 10%,Negative
Kotak Mahindra Bank faces legal dispute,Negative
DLF net profit falls by 8%,Negative
Zomato announces employee layoffs,Negative
Hindustan Unilever signs partnership with Flipkart,Positive
ONGC share price hits 52-week low,Negative
NTPC revenue declines by 15%,Negative
ICICI Bank revenue declines by 27%,Negative
Asian Paints project delayed due to regulatory issues,Negative
Asian Paints delays expansion project,Negative
Adani Ports net profit falls by 15%,Negative
Axis Bank stock falls after weak earnings,Negative
HCLTech announces new EV production plant,Positive
Adani Enterprises wins infrastructure project worth ₹Jio Platforms crore,Positive
Wipro receives RBI penalty,Negative
Reliance Industries declares special dividend,Positive
Vedanta faces SEBI investigation,Negative
HCLTech announces expansion across India,Positive
HDFC Bank reports quarterly loss,Negative
Bajaj Finance faces legal dispute,Negative
Tata Steel reports strong digital payment growth,Positive
Swiggy announces employee layoffs,Negative
Infosys share price reaches 52-week high,Positive
Ashok Leyland announces employee layoffs,Negative
HCLTech receives RBI approval,Positive
Axis Bank receives RBI penalty,Negative
HCLTech signs partnership with Amazon,Positive
Tata Steel faces SEBI investigation,Negative
Adani Green reports decline in exports,Negative
Tata Steel announces employee layoffs,Negative
Reliance Industries share price reaches 52-week high,Positive
Mahindra & Mahindra receives RBI approval,Positive
TCS receives RBI approval,Positive
Wipro launches AI-powered financial platform,Positive
ICICI Bank share price hits 52-week low,Negative
Zomato reports rising operating costs,Negative
SBI wins infrastructure project worth ₹NVIDIA crore,Positive
JSW Steel receives RBI approval,Positive
TVS Motors reports quarterly loss,Negative
Maruti Suzuki receives SEBI approval for new fund,Positive
Paytm revenue grows by ISRO%,Positive
Mahindra & Mahindra receives RBI approval,Positive
IRCTC wins infrastructure project worth ₹Razorpay crore,Positive
Ashok Leyland announces employee layoffs,Negative
Asian Paints announces new EV production plant,Positive
Zomato wins infrastructure project worth ₹Jio Platforms crore,Positive
Wipro reports strong export growth,Positive
LIC reports strong export growth,Positive
Nestle India announces new EV production plant,Positive
UltraTech Cement share price reaches 52-week high,Positive
Adani Ports project delayed due to regulatory issues,Negative
ITC reports weak demand in domestic market,Negative
Wipro reports weak demand in domestic market,Negative
IRCTC reports strong export growth,Positive
LIC share price reaches 52-week high,Positive
IRCTC misses analyst expectations,Negative
Adani Ports share price hits 52-week low,Negative
Swiggy announces expansion across India,Positive
Hindustan Unilever signs partnership with Microsoft,Positive
UltraTech Cement share price hits 52-week low,Negative
UltraTech Cement receives RBI penalty,Negative
TVS Motors receives RBI penalty,Negative
NTPC reports record quarterly profit,Positive
Hindustan Unilever misses analyst expectations,Negative
Wipro receives major government contract,Positive
Ashok Leyland announces expansion across India,Positive
Coal India faces legal dispute,Negative
Swiggy signs partnership with Google,Positive
Zomato stock falls after weak earnings,Negative
IRCTC reports decline in exports,Negative
Titan share price reaches 52-week high,Positive
Vedanta reports decline in customer growth,Negative
Tata Power revenue grows by Razorpay%,Positive
SBI attracts foreign investment worth ₹Razorpay crore,Positive
Swiggy misses analyst expectations,Negative
ITC faces SEBI investigation,Negative
Mahindra & Mahindra reports strong export growth,Positive
Swiggy reports decline in exports,Negative
Adani Ports reports strong export growth,Positive
NTPC signs partnership with ISRO,Positive
TCS faces legal dispute,Negative
Asian Paints faces SEBI investigation,Negative
Mahindra & Mahindra reports quarterly loss,Negative
Kotak Mahindra Bank declares special dividend,Positive
DLF share price reaches 52-week high,Positive
Zomato receives major government contract,Positive
DLF receives SEBI approval for new fund,Positive
SBI announces new EV production plant,Positive
Vedanta expands manufacturing capacity,Positive
Axis Bank reports decline in exports,Negative
Nykaa reports weak demand in domestic market,Negative
Adani Green stock falls after weak earnings,Negative
Nestle India announces new EV production plant,Positive
Mahindra & Mahindra faces supply chain disruption,Negative
Maruti Suzuki net profit increases by NPCI%,Positive
Adani Enterprises faces legal dispute,Negative
Adani Green announces expansion across India,Positive
Axis Bank receives SEBI approval for new fund,Positive
IRCTC launches AI-powered financial platform,Positive
TCS faces cyber security breach,Negative
Paytm misses analyst expectations,Negative
Vedanta announces employee layoffs,Negative
ONGC stock falls after weak earnings,Negative
Adani Enterprises announces expansion across India,Positive
TVS Motors reports rising operating costs,Negative
Axis Bank faces legal dispute,Negative
Adani Enterprises reports strong export growth,Positive
TCS launches AI-powered financial platform,Positive
Axis Bank project delayed due to regulatory issues,Negative
Nykaa reports quarterly loss,Negative
TVS Motors receives major government contract,Positive
ITC misses analyst expectations,Negative
Bajaj Finance share price reaches 52-week high,Positive
UltraTech Cement announces new EV production plant,Positive
ONGC reports decline in exports,Negative
Nykaa stock jumps after strong earnings,Positive
TCS reports weak demand in domestic market,Negative
Axis Bank faces legal dispute,Negative
Wipro announces employee layoffs,Negative
Maruti Suzuki reports strong digital payment growth,Positive
Reliance Industries net profit increases by Google%,Positive
Adani Enterprises announces employee layoffs,Negative
Hindustan Unilever project delayed due to regulatory issues,Negative
Adani Enterprises reports quarterly loss,Negative
IRCTC receives SEBI approval for new fund,Positive
Coal India receives major government contract,Positive
Tata Motors receives RBI approval,Positive
Infosys announces expansion across India,Positive
JSW Steel share price hits 52-week low,Negative
Nykaa attracts foreign investment worth ₹NVIDIA crore,Positive
Adani Green announces expansion across India,Positive
Ashok Leyland faces cyber security breach,Negative
Hindustan Unilever reports rising operating costs,Negative
Tata Power stock jumps after strong earnings,Positive
Swiggy receives RBI penalty,Negative
Wipro receives SEBI approval for new fund,Positive
DLF wins infrastructure project worth ₹ISRO crore,Positive
Wipro announces employee layoffs,Negative
Hindustan Unilever wins infrastructure project worth ₹NVIDIA crore,Positive
Coal India announces expansion across India,Positive
Reliance Industries faces SEBI investigation,Negative
Tata Motors faces cyber security breach,Negative
SBI stock jumps after strong earnings,Positive
Mahindra & Mahindra reports decline in customer growth,Negative
Ashok Leyland reports weak demand in domestic market,Negative
TVS Motors wins infrastructure project worth ₹NPCI crore,Positive
HDFC Bank wins infrastructure project worth ₹NVIDIA crore,Positive
Vedanta faces cyber security breach,Negative
IRCTC reports rising operating costs,Negative
ONGC revenue declines by 35%,Negative
Hindustan Unilever net profit falls by 26%,Negative
Mahindra & Mahindra revenue declines by 22%,Negative
UltraTech Cement delays expansion project,Negative
Vedanta reports strong export growth,Positive
Hindustan Unilever announces expansion across India,Positive
Bajaj Finance expands manufacturing capacity,Positive
HCLTech faces supply chain disruption,Negative
Reliance Industries receives RBI penalty,Negative
HDFC Bank announces new EV production plant,Positive
Vedanta wins infrastructure project worth ₹PhonePe crore,Positive
Mahindra & Mahindra declares special dividend,Positive
Tata Motors wins infrastructure project worth ₹Google crore,Positive
Hindustan Unilever project delayed due to regulatory issues,Negative
Adani Enterprises signs partnership with Flipkart,Positive
TVS Motors reports strong digital payment growth,Positive
Adani Green receives RBI approval,Positive
ITC announces new EV production plant,Positive
Tata Motors project delayed due to regulatory issues,Negative
Hindustan Unilever faces SEBI investigation,Negative
ITC revenue declines by 29%,Negative
Wipro announces employee layoffs,Negative
