age,income_lakh,investment_lakh,risk_score,experience,market_exposure,diversification,previous_return,annual_return,return_binary,return_category
40,24.4,6.2,8,9,38.9,4,15.8,21.6,1,2
28,9.3,9.7,2,18,36.5,8,14.5,21.7,1,2
26,24.7,0.8,5,5,82.8,10,14.9,23.5,1,2
35,23.0,10.5,10,12,34.0,10,24.1,33.6,1,2
51,12.0,8.1,5,1,95.1,2,3.9,13.1,0,1
22,12.4,11.6,7,11,40.8,3,4.7,18.5,1,1
43,8.9,14.2,7,11,97.6,4,2.6,18.6,1,1
37,10.5,8.4,3,15,31.8,4,6.1,14.6,0,1
50,20.8,0.6,8,10,92.9,6,18.8,21.3,1,2
32,15.2,13.5,6,27,34.6,6,9.2,21.3,1,2
44,13.5,1.3,1,1,86.8,6,13.1,9.6,0,0
28,5.4,14.7,6,28,86.5,5,14.7,22.5,1,2
29,23.9,12.0,4,0,12.8,1,7.9,16.1,1,1
38,21.1,3.0,7,11,96.5,10,4.8,20.4,1,2
56,18.5,8.7,8,27,89.0,6,15.2,28.3,1,2
31,6.4,12.8,9,0,33.3,6,15.6,22.3,1,2
32,12.0,13.1,5,11,45.5,2,-2.9,14.9,0,1
38,9.2,10.7,9,3,92.1,10,2.0,21.3,1,2
28,3.3,6.8,9,12,86.1,9,7.6,20.0,1,1
43,11.3,13.4,10,30,25.7,9,5.8,20.9,1,2
50,15.5,3.7,7,23,22.3,10,12.3,18.8,1,1
35,13.4,13.0,8,25,91.4,4,15.6,32.3,1,2
29,4.9,14.0,8,5,36.3,9,23.3,27.0,1,2
38,7.9,9.7,10,14,92.6,9,16.5,30.2,1,2
60,11.8,3.1,8,0,42.5,2,-1.3,10.6,0,1
28,14.5,5.6,1,0,11.7,7,1.2,5.4,0,0
54,4.9,5.1,2,25,79.4,10,10.3,12.4,0,1
56,14.5,4.6,7,2,64.7,7,13.2,19.1,1,1
59,8.3,6.8,8,5,40.0,6,7.5,15.0,1,1
34,6.8,13.3,6,12,99.0,8,5.1,17.2,1,1
43,12.6,12.1,10,22,49.0,8,-1.9,21.7,1,2
53,4.7,9.8,9,6,68.9,2,6.6,13.9,0,1
43,18.1,6.7,4,3,92.4,10,6.6,22.2,1,2
39,20.1,14.7,1,30,60.1,9,16.2,28.3,1,2
34,13.3,2.4,10,29,15.2,8,23.7,25.1,1,2
21,13.5,10.4,4,14,96.6,9,-1.0,15.4,1,1
51,22.8,13.5,5,16,19.8,4,8.8,17.4,1,1
48,13.5,10.7,3,5,32.3,3,16.2,15.4,1,1
56,11.6,4.9,8,8,58.6,6,16.3,19.7,1,1
37,5.0,5.6,6,16,89.7,10,20.0,20.4,1,2
60,22.2,12.8,10,7,88.2,2,4.0,22.3,1,2
25,10.2,1.1,5,30,13.1,5,-4.7,7.6,0,0
25,19.2,2.5,1,7,40.9,3,21.3,13.7,0,1
23,10.3,4.9,8,13,50.6,3,-0.8,12.0,0,1
37,18.1,6.2,1,8,91.3,3,-2.7,7.0,0,0
39,23.1,14.5,3,24,92.5,3,-0.1,20.9,1,2
47,16.7,1.7,10,25,33.4,4,1.1,18.2,1,1
26,11.2,13.1,9,17,74.5,1,20.7,24.5,1,2
49,17.4,8.6,3,23,40.9,10,24.7,24.9,1,2
32,15.6,7.4,8,3,19.8,5,1.2,17.1,1,1
24,20.3,4.6,9,7,59.9,8,12.6,23.6,1,2
27,10.0,11.2,7,7,84.2,2,18.1,19.3,1,1
23,17.5,0.6,3,26,93.6,2,23.6,22.9,1,2
59,6.5,8.7,4,24,53.0,1,6.0,10.7,0,1
26,18.0,9.6,3,7,35.8,7,-4.1,7.9,0,0
41,21.3,12.0,3,24,48.6,4,13.6,24.6,1,2
38,7.1,6.1,9,25,68.0,10,14.7,24.1,1,2
22,17.3,12.5,9,16,33.7,9,8.5,29.6,1,2
54,6.4,7.2,7,5,26.5,6,11.7,15.4,1,1
47,19.2,14.0,1,9,36.9,5,14.4,22.8,1,2
37,15.2,14.8,9,14,82.7,4,8.6,25.9,1,2
54,4.6,0.5,8,9,41.8,6,2.7,9.6,0,0
48,5.1,3.1,4,2,50.7,10,5.4,8.8,0,0
37,13.8,12.0,3,1,87.3,9,24.1,28.1,1,2
40,22.3,2.7,5,5,40.8,8,10.3,18.0,1,1
32,17.1,0.9,3,0,74.7,4,6.8,13.5,0,1
50,24.7,11.9,2,29,78.3,3,-1.9,14.5,0,1
48,24.8,4.2,5,4,34.5,1,0.1,15.2,1,1
45,5.5,10.5,6,8,18.3,6,17.2,18.3,1,1
24,12.9,9.8,6,8,50.2,9,22.1,24.0,1,2
53,8.2,1.7,2,8,84.2,2,1.6,3.0,0,0
37,3.4,13.9,8,24,28.8,2,12.9,20.0,1,1
60,23.2,11.1,6,19,52.9,4,14.4,22.4,1,2
47,11.9,7.6,4,13,86.0,4,-3.7,10.9,0,1
34,14.3,0.6,7,9,91.5,2,2.4,13.1,0,1
47,5.3,1.2,6,6,98.0,7,2.3,10.0,0,1
57,12.3,8.0,2,24,57.8,5,11.5,17.7,1,1
45,14.5,6.5,2,19,73.9,2,10.4,14.8,0,1
54,18.4,9.4,5,7,69.4,9,-0.2,18.7,1,1
24,20.6,1.5,9,26,41.8,6,3.3,20.2,1,2
29,19.8,6.4,1,22,86.5,4,11.4,15.1,1,1
46,24.7,1.6,1,1,40.5,1,-3.9,3.2,0,0
24,16.4,8.5,8,22,85.7,9,15.4,29.1,1,2
31,11.8,11.8,7,3,19.8,8,0.0,17.5,1,1
29,3.4,9.9,6,24,97.7,2,20.0,18.0,1,1
32,15.3,2.2,5,21,73.0,7,3.5,14.6,0,1
41,23.9,4.3,5,21,21.4,7,8.6,21.6,1,2
42,7.0,8.1,10,20,11.2,8,21.8,26.7,1,2
44,7.3,12.9,8,23,72.2,1,-3.6,14.2,0,1
55,7.4,10.7,1,2,24.3,7,1.8,8.0,0,0
54,8.0,5.0,10,22,82.5,4,-4.5,15.3,1,1
44,12.6,5.6,2,3,48.5,4,-1.7,4.7,0,0
53,5.7,1.6,5,8,15.3,7,3.9,6.0,0,0
26,4.9,14.4,10,26,11.3,6,3.6,17.3,1,1
44,16.1,8.9,8,19,48.0,4,6.3,16.9,1,1
23,21.2,11.4,6,12,70.8,10,18.3,29.9,1,2
41,23.4,2.9,8,12,43.1,5,-3.3,13.8,0,1
33,12.4,2.7,1,12,63.9,2,3.9,4.1,0,0
51,12.5,5.4,6,11,52.9,9,-3.3,11.3,0,1
54,7.9,4.0,3,4,95.3,1,-4.2,6.3,0,0
22,20.1,7.9,6,10,98.2,9,21.0,31.4,1,2
41,23.9,2.8,2,7,48.8,9,6.8,16.0,1,1
52,15.1,13.0,1,20,47.8,4,21.7,20.1,1,2
33,16.0,6.5,7,3,88.6,1,16.3,23.0,1,2
60,10.5,10.8,9,12,64.2,3,22.6,25.1,1,2
23,9.2,4.1,9,28,99.0,8,17.4,25.6,1,2
44,16.2,12.7,6,2,92.5,5,2.6,19.7,1,1
26,4.6,8.8,8,9,74.9,1,-3.6,14.4,0,1
34,6.0,1.0,4,3,43.5,5,11.5,9.9,0,0
52,15.9,10.5,8,3,21.1,8,12.0,23.3,1,2
47,4.8,9.8,3,16,80.2,3,0.2,12.0,0,1
31,5.6,4.1,5,7,77.8,2,-3.8,8.1,0,0
36,13.2,5.1,9,23,69.7,3,17.8,25.4,1,2
38,16.5,10.8,4,24,12.3,9,1.3,17.5,1,1
53,23.4,5.2,1,7,91.2,2,12.9,16.7,1,1
45,13.6,4.4,7,1,92.8,5,14.6,19.2,1,1
41,6.1,10.8,10,23,29.5,2,1.2,13.4,0,1
48,20.5,7.6,9,14,44.6,5,23.1,29.3,1,2
49,18.5,13.6,8,23,67.1,8,14.3,30.9,1,2
52,16.5,4.4,7,4,54.5,1,23.8,16.3,1,1
55,24.0,8.6,6,25,31.8,10,21.1,29.1,1,2
51,16.4,9.7,2,16,33.3,5,7.5,16.3,1,1
23,4.6,6.0,10,13,16.8,7,24.0,24.1,1,2
30,15.1,5.3,4,21,22.1,2,5.0,9.8,0,0
30,7.5,6.1,8,15,97.7,1,10.5,19.7,1,1
33,23.8,14.6,7,8,79.6,1,13.5,27.5,1,2
42,15.8,14.8,6,18,16.8,4,16.9,22.5,1,2
42,9.8,3.2,9,10,30.0,3,18.4,15.4,1,1
43,8.8,14.8,1,4,36.2,2,20.6,12.7,0,1
60,14.1,8.3,9,12,91.5,3,19.0,26.1,1,2
32,20.2,7.4,2,4,21.0,8,22.5,18.0,1,1
39,7.4,2.7,1,2,75.0,7,5.9,8.3,0,0
55,3.9,2.5,7,24,10.4,1,1.0,6.6,0,0
33,10.0,1.5,4,21,59.0,6,-3.3,7.1,0,0
27,12.6,14.2,4,10,13.3,5,14.9,19.7,1,1
41,6.4,9.8,10,18,20.4,6,-4.1,14.0,0,1
48,13.8,4.1,5,13,53.9,2,20.2,19.2,1,1
57,8.2,4.1,1,3,95.7,2,-3.4,4.3,0,0
45,19.7,1.4,3,7,76.7,10,19.9,22.6,1,2
29,14.0,5.5,4,7,13.5,9,-2.2,13.6,0,1
23,10.2,6.7,9,13,96.8,2,8.1,19.5,1,1
22,9.0,6.9,8,1,96.8,3,13.9,19.6,1,1
44,19.5,5.9,7,17,18.5,2,-1.0,11.2,0,1
25,11.2,9.7,5,16,74.1,8,-1.9,15.4,1,1
49,6.8,4.2,9,13,28.1,1,4.3,8.9,0,0
50,16.8,6.6,7,13,49.9,8,6.8,21.5,1,2
53,22.8,2.3,3,30,66.1,2,3.1,15.4,1,1
27,23.1,11.0,6,6,68.7,2,4.0,18.2,1,1
59,18.8,9.1,8,8,78.3,4,-2.1,10.7,0,1
58,10.2,2.2,2,6,29.2,7,11.9,10.4,0,1
39,5.8,4.9,5,2,45.6,1,2.2,3.7,0,0
57,20.2,6.8,9,21,94.8,10,5.1,30.7,1,2
54,3.2,6.6,1,14,84.4,2,-4.4,3.0,0,0
56,24.8,5.4,10,18,71.2,7,14.5,27.8,1,2
32,12.4,11.9,1,18,51.5,3,18.7,17.4,1,1
25,11.1,9.9,9,23,57.5,1,12.8,25.5,1,2
51,11.8,13.5,8,22,64.3,5,4.1,18.1,1,1
45,4.9,3.6,3,18,12.2,9,14.6,12.9,0,1
25,6.3,8.2,7,21,89.8,4,22.8,21.0,1,2
27,18.4,7.7,5,15,35.0,4,9.4,15.9,1,1
29,13.6,4.1,6,23,59.5,6,18.8,20.7,1,2
37,13.4,11.1,7,13,76.1,1,23.7,26.0,1,2
34,3.8,11.8,3,8,34.4,1,4.9,4.5,0,0
41,12.8,9.1,7,4,17.4,5,21.8,19.0,1,1
35,6.9,2.8,6,6,24.1,2,2.2,5.8,0,0
46,10.0,14.0,5,3,38.0,2,21.2,19.8,1,1
57,21.8,8.8,3,15,66.9,4,16.7,22.3,1,2
42,8.9,6.6,1,0,32.6,8,21.1,16.2,1,1
23,9.4,7.2,10,19,46.0,6,7.4,20.6,1,2
23,8.3,8.8,1,22,18.8,5,24.5,18.9,1,1
60,5.1,6.8,7,30,56.7,2,7.2,13.5,0,1
60,15.8,13.6,9,2,55.6,7,-4.9,17.3,1,1
29,24.5,11.8,7,28,94.8,8,24.4,39.8,1,2
53,9.1,4.6,6,19,69.7,3,-2.7,12.5,0,1
59,11.8,11.4,5,17,20.7,1,23.5,16.6,1,1
25,20.1,11.9,2,21,19.2,5,20.8,21.1,1,2
51,13.0,4.1,4,2,31.4,10,14.3,17.4,1,1
22,17.3,2.6,6,27,56.2,10,-4.7,15.2,1,1
26,6.4,6.9,4,7,80.8,5,-3.6,6.1,0,0
52,22.9,1.0,6,28,24.2,7,15.5,19.9,1,1
42,6.9,4.1,1,7,42.2,5,6.2,6.3,0,0
34,15.2,4.4,5,11,36.4,8,24.9,20.7,1,2
54,12.3,1.0,4,24,22.0,4,8.5,5.7,0,0
30,4.4,5.1,1,26,71.8,9,4.7,11.3,0,1
55,8.4,7.6,3,12,75.4,1,-0.1,7.1,0,0
58,8.4,1.5,2,10,42.6,1,9.3,4.4,0,0
55,10.1,10.7,6,3,47.7,8,20.0,23.3,1,2
21,23.3,7.4,4,14,53.2,3,16.8,20.0,1,1
58,21.6,14.6,9,21,34.7,4,3.4,24.9,1,2
29,5.9,5.4,7,1,50.5,7,14.2,14.8,0,1
26,8.8,5.5,10,13,42.8,1,6.9,13.0,0,1
24,3.1,14.3,7,27,27.0,2,0.9,12.6,0,1
37,18.8,6.1,6,22,35.9,6,-1.5,16.9,1,1
39,24.7,11.8,3,7,46.8,2,16.9,22.6,1,2
38,8.4,4.8,6,28,73.6,8,6.1,13.6,0,1
46,3.3,9.3,8,9,58.2,7,17.1,17.1,1,1
24,14.4,5.5,6,20,47.8,1,5.9,15.1,1,1
24,18.9,10.5,6,23,13.0,3,-4.2,12.4,0,1
23,6.2,10.1,5,16,20.8,9,24.7,18.2,1,1
53,20.9,8.6,8,3,33.5,7,2.0,20.5,1,2
42,15.2,1.7,1,8,39.3,1,18.1,9.1,0,0
39,14.4,2.2,4,16,65.2,1,8.7,10.4,0,1
44,16.8,7.1,1,7,18.2,7,13.2,15.4,1,1
29,14.0,12.8,4,5,31.9,7,18.7,22.2,1,2
44,8.0,12.1,10,28,82.9,5,19.5,27.4,1,2
23,13.2,11.5,2,26,41.5,7,13.1,17.7,1,1
28,5.2,1.2,3,17,41.8,6,-1.4,4.0,0,0
24,20.2,11.6,10,23,19.0,4,19.7,27.2,1,2
46,15.4,12.2,4,25,83.4,2,16.7,21.9,1,2
43,23.6,6.7,5,2,25.9,8,5.5,18.0,1,1
33,11.7,3.0,10,19,82.7,2,23.9,24.9,1,2
33,8.2,5.3,10,1,86.1,8,0.5,15.8,1,1
44,20.8,2.7,6,16,16.3,5,-2.3,14.2,0,1
47,16.2,3.1,5,30,84.1,6,20.7,22.0,1,2
36,7.2,14.0,5,7,46.3,3,-4.0,11.1,0,1
33,10.0,1.2,9,9,56.1,5,5.4,10.8,0,1
52,9.4,9.8,6,13,63.2,8,21.5,23.6,1,2
50,7.8,4.4,8,26,86.5,6,2.8,14.7,0,1
54,3.3,5.2,1,13,87.6,10,-4.6,5.7,0,0
36,4.8,6.3,2,7,91.8,6,7.8,12.4,0,1
59,12.9,5.9,2,28,83.8,1,20.4,15.8,1,1
42,18.7,11.6,3,11,99.5,2,18.1,22.6,1,2
31,10.9,3.8,3,20,50.5,3,11.9,11.3,0,1
28,20.2,6.8,9,9,77.8,1,9.7,19.6,1,1
60,20.2,14.9,3,5,95.5,7,12.2,25.5,1,2
46,3.6,1.5,7,2,58.6,7,4.6,8.0,0,0
41,24.9,1.4,2,4,52.6,5,21.0,18.7,1,1
48,12.7,11.6,9,24,80.1,4,-1.2,20.3,1,2
43,14.0,2.6,10,6,33.8,5,-3.7,13.6,0,1
32,9.6,12.2,1,16,92.7,9,18.7,19.4,1,1
45,13.4,5.6,2,5,35.7,6,1.2,7.2,0,0
50,24.7,0.5,9,15,66.8,2,22.1,26.7,1,2
47,20.3,3.0,7,26,26.0,10,15.7,21.7,1,2
22,4.3,1.1,3,26,23.3,5,1.2,4.1,0,0
35,4.9,12.2,5,11,84.9,3,7.7,15.4,1,1
24,14.2,3.6,3,3,59.9,7,-4.8,7.2,0,0
25,21.1,8.3,9,29,84.7,7,20.7,32.1,1,2
53,20.7,12.5,5,28,96.4,3,8.1,21.9,1,2
28,23.4,9.7,7,7,63.6,3,18.6,24.6,1,2
48,6.9,6.9,4,1,72.1,4,5.4,9.1,0,0
60,17.2,10.5,1,6,19.9,3,21.5,17.9,1,1
27,17.8,8.3,6,1,91.5,9,5.1,21.7,1,2
35,19.8,2.1,6,9,44.0,10,14.2,19.1,1,1
57,5.7,10.5,10,20,99.9,8,15.5,27.6,1,2
38,9.0,3.3,1,11,96.7,7,-2.8,3.9,0,0
25,24.2,7.8,9,9,98.0,7,13.9,27.8,1,2
58,7.5,1.3,9,11,47.8,3,14.3,15.2,1,1
31,23.5,2.0,3,20,75.1,7,18.0,21.1,1,2
29,3.1,1.2,9,29,27.7,1,-2.8,8.0,0,0
52,11.7,14.6,8,18,63.7,2,12.0,20.7,1,2
55,22.9,12.1,8,4,67.6,4,17.5,29.6,1,2
29,9.2,5.8,10,14,85.4,2,-4.5,16.3,1,1
24,8.7,6.9,2,24,14.6,8,-0.3,8.6,0,0
52,20.8,11.3,7,23,65.7,5,-0.8,19.9,1,1
43,21.1,3.4,8,30,12.0,2,-1.5,11.1,0,1
29,11.0,13.3,1,1,46.3,4,19.0,18.4,1,1
33,13.0,3.2,10,27,64.4,5,5.8,16.6,1,1
48,19.6,4.7,1,12,71.9,3,10.9,18.5,1,1
44,19.2,6.0,1,26,41.4,3,-4.5,11.8,0,1
42,20.8,0.9,5,11,38.0,7,0.6,11.8,0,1
28,18.9,11.7,6,11,75.1,4,15.7,27.2,1,2
27,9.9,8.3,6,10,36.3,3,9.7,17.6,1,1
46,11.8,4.3,8,8,26.0,6,21.5,22.2,1,2
22,16.0,14.9,10,24,99.0,4,4.3,27.4,1,2
45,20.8,8.5,1,3,80.2,9,19.5,20.9,1,2
33,9.8,7.9,3,24,74.2,3,-4.3,8.6,0,0
57,22.5,8.3,7,12,45.0,4,7.8,19.1,1,1
42,5.4,2.5,9,21,33.8,5,13.5,13.3,0,1
43,20.5,3.7,9,10,60.1,1,21.4,22.6,1,2
27,18.7,9.4,2,30,84.6,6,17.0,24.7,1,2
35,8.2,2.9,3,0,31.6,5,11.2,9.8,0,0
25,15.9,11.2,7,9,38.8,6,17.2,26.1,1,2
60,15.6,13.5,6,24,34.2,10,-1.6,17.8,1,1
51,18.8,1.4,6,15,77.3,4,-1.0,9.8,0,0
54,18.6,1.4,6,12,85.7,9,3.8,16.6,1,1
35,12.2,6.3,5,11,19.3,8,-3.5,9.6,0,0
35,10.3,5.9,10,1,72.2,9,25.0,27.2,1,2
46,22.7,11.1,7,25,60.2,8,23.2,34.6,1,2
52,21.8,4.2,7,9,96.2,5,-2.2,16.2,1,1
50,21.8,13.2,7,27,15.3,10,21.2,32.3,1,2
56,16.7,4.5,3,7,79.5,4,10.4,16.1,1,1
46,12.2,9.8,3,6,98.9,6,-3.1,13.2,0,1
24,17.7,11.3,2,12,96.1,5,18.1,24.2,1,2
52,15.4,13.9,10,6,61.1,2,17.0,24.0,1,2
59,9.1,10.1,8,4,90.2,10,2.6,23.3,1,2
22,12.4,6.8,4,0,93.2,7,11.9,19.5,1,1
48,9.3,3.5,10,22,98.7,2,5.4,16.9,1,1
55,8.7,7.5,6,10,40.8,7,10.6,17.6,1,1
51,19.2,1.5,8,12,40.4,9,22.5,23.3,1,2
39,12.0,10.1,2,21,43.2,3,14.0,15.3,1,1
37,11.0,13.1,9,23,91.6,10,13.9,31.6,1,2
41,23.4,3.2,4,18,50.7,10,-2.2,16.0,1,1
58,4.9,2.6,2,0,53.3,4,3.3,1.6,0,0
37,6.7,6.2,3,15,60.6,4,11.5,10.5,0,1
50,4.6,1.0,3,14,61.9,1,0.4,-0.2,0,0
31,3.4,3.1,6,3,98.0,2,5.6,10.3,0,1
55,7.1,6.2,7,28,61.9,5,16.8,26.1,1,2
49,13.3,8.1,6,11,95.2,8,3.9,21.0,1,2
43,13.6,7.2,2,27,66.8,6,4.7,11.9,0,1
34,14.1,10.2,7,6,59.7,6,23.3,27.9,1,2
52,6.9,10.0,5,12,83.5,10,8.8,22.8,1,2
55,3.6,3.6,5,24,98.8,5,0.9,10.5,0,1
26,16.9,4.5,8,0,18.6,5,21.8,21.1,1,2
48,6.0,11.0,1,2,33.7,5,10.5,10.4,0,1
50,13.1,7.7,9,10,78.7,9,-4.6,18.7,1,1
29,23.4,8.0,4,7,20.5,9,-0.8,16.0,1,1
32,6.2,5.7,7,8,29.0,9,17.6,17.5,1,1
49,19.7,5.8,9,17,31.1,10,18.4,28.0,1,2
40,23.5,5.1,7,11,49.3,4,22.8,24.7,1,2
34,10.0,2.5,4,13,19.7,10,16.2,12.5,0,1
21,13.9,14.8,4,12,25.6,7,-3.6,14.0,0,1
21,10.3,9.9,10,21,31.3,2,19.1,24.3,1,2
23,7.7,5.1,7,1,12.0,10,5.2,14.9,0,1
58,23.5,7.9,4,19,73.7,9,17.6,24.4,1,2
24,23.2,4.1,2,9,15.8,9,11.7,14.8,0,1
47,12.1,4.0,7,3,98.8,2,0.3,11.2,0,1
44,19.8,11.6,3,29,32.8,4,4.5,18.9,1,1
26,23.2,10.0,3,24,81.9,8,7.4,22.8,1,2
55,14.0,10.7,7,6,41.4,4,10.0,19.3,1,1
24,22.6,12.8,4,1,12.0,7,20.9,26.5,1,2
50,11.8,6.2,6,30,45.3,8,-4.8,14.8,0,1
50,8.7,12.5,8,5,38.9,5,20.6,23.9,1,2
29,7.7,11.0,4,0,59.1,9,7.1,16.1,1,1
56,20.4,3.9,4,20,27.2,5,14.3,19.1,1,1
48,11.9,8.9,1,5,52.0,4,14.9,10.8,0,1
49,14.1,11.0,1,26,51.3,2,6.4,14.1,0,1
57,10.3,12.5,4,12,63.4,6,2.4,14.8,0,1
50,16.2,5.9,7,1,25.0,8,19.3,22.2,1,2
46,18.9,6.4,2,15,57.5,1,17.3,18.8,1,1
26,14.9,9.2,3,8,12.8,6,24.3,19.7,1,1
60,20.2,10.1,7,7,59.3,4,16.3,21.0,1,2
57,6.2,14.4,8,22,15.8,4,23.9,23.9,1,2
37,11.9,12.7,5,0,20.0,10,22.2,23.0,1,2
21,14.5,13.1,4,14,14.4,1,7.3,16.3,1,1
32,12.5,3.9,7,9,15.6,10,21.7,21.9,1,2
28,8.3,6.3,6,8,16.4,9,18.8,15.4,1,1
29,10.3,11.8,10,8,12.8,8,11.8,21.8,1,2
34,8.4,1.0,5,13,49.4,2,14.0,13.0,0,1
41,9.2,5.3,7,18,57.8,4,21.9,22.5,1,2
33,15.1,1.0,4,27,40.0,5,14.9,17.9,1,1
53,19.3,7.0,6,23,86.9,5,-4.6,14.8,0,1
56,13.3,6.4,7,6,63.9,4,-1.8,11.4,0,1
41,17.2,4.2,8,0,33.0,9,7.4,16.6,1,1
39,20.3,3.2,2,16,81.1,10,7.0,16.7,1,1
35,10.9,10.7,6,22,22.4,2,4.5,17.2,1,1
36,11.8,2.1,1,10,20.9,6,17.1,12.3,0,1
41,11.9,11.4,4,0,50.4,1,-4.9,8.9,0,0
60,13.2,4.6,10,5,68.5,9,-2.8,15.1,1,1
41,20.1,9.3,1,29,66.6,3,-1.5,14.3,0,1
53,18.2,8.8,9,7,75.5,6,12.3,22.3,1,2
33,7.1,12.3,4,9,86.3,2,6.9,15.0,1,1
36,16.7,4.7,8,25,84.2,8,0.7,20.8,1,2
37,7.1,13.7,7,6,44.6,8,8.9,19.8,1,1
58,11.4,10.7,7,30,80.7,8,18.0,25.3,1,2
49,24.0,8.9,10,8,72.1,9,6.7,26.3,1,2
33,16.4,8.5,3,15,97.0,5,24.9,23.6,1,2
21,19.7,14.8,10,29,64.1,5,17.2,35.0,1,2
36,13.2,12.0,2,8,21.9,5,1.7,10.8,0,1
47,10.8,1.6,8,25,68.7,3,13.2,20.0,1,1
26,3.7,4.7,5,10,73.1,6,22.1,17.9,1,1
28,17.2,8.5,9,14,68.0,5,15.7,25.4,1,2
51,18.0,4.4,2,26,33.6,7,21.1,22.3,1,2
26,4.6,13.6,6,14,50.0,6,-4.3,10.5,0,1
34,5.0,8.6,10,19,93.6,2,4.2,13.5,0,1
53,3.6,12.3,8,5,15.3,2,24.4,20.6,1,2
33,17.2,4.4,10,19,45.0,9,12.3,22.9,1,2
55,5.6,14.7,6,13,17.3,9,21.9,23.3,1,2
53,12.5,10.2,3,27,28.8,1,13.6,17.3,1,1
22,14.9,12.3,6,13,92.3,5,0.1,17.6,1,1
41,16.5,8.0,10,13,22.8,3,24.1,26.5,1,2
40,5.4,9.5,1,5,34.4,8,-0.9,7.8,0,0
26,8.6,10.4,4,11,42.1,8,12.7,16.9,1,1
60,24.3,10.6,8,0,25.2,5,-4.0,18.4,1,1
21,24.3,1.3,4,27,36.8,4,7.0,18.1,1,1
29,8.8,10.8,10,8,17.9,7,24.4,29.8,1,2
32,22.2,9.6,5,12,40.7,4,3.6,18.9,1,1
43,18.5,3.1,2,15,53.3,7,14.0,17.1,1,1
35,3.5,7.6,6,8,63.3,7,-3.8,12.8,0,1
56,24.4,10.5,6,19,33.0,6,8.9,25.5,1,2
44,21.5,0.7,3,27,18.4,10,5.9,15.2,1,1
35,12.4,2.3,6,13,62.0,3,20.9,18.3,1,1
23,4.9,7.1,2,27,36.5,1,3.3,6.2,0,0
40,12.6,11.1,1,19,77.4,10,7.4,20.4,1,2
50,18.9,14.7,5,22,69.9,4,-0.8,19.8,1,1
37,13.4,5.0,2,11,19.8,3,22.1,11.8,0,1
35,6.3,9.2,2,28,39.1,2,14.6,11.5,0,1
44,7.1,10.7,6,12,76.9,8,2.9,13.6,0,1
46,17.5,4.5,5,5,68.3,4,5.9,15.8,1,1
32,20.4,10.0,8,22,80.1,2,19.4,27.5,1,2
36,7.7,11.4,4,18,17.5,4,2.1,10.7,0,1
42,18.7,13.2,2,5,41.8,6,23.3,24.3,1,2
32,18.9,15.0,4,15,71.4,2,19.4,25.8,1,2
42,14.8,2.6,3,18,17.2,6,18.1,11.7,0,1
50,24.8,10.1,2,7,30.7,9,21.0,25.6,1,2
26,18.5,4.8,2,10,24.7,9,5.7,11.1,0,1
22,12.9,12.7,2,18,36.5,6,19.4,20.7,1,2
34,8.4,4.0,2,15,89.1,6,12.9,10.6,0,1
22,23.6,2.5,6,21,34.7,8,15.4,25.5,1,2
45,15.2,1.9,1,11,50.8,4,15.8,13.9,0,1
56,12.1,11.2,6,15,69.3,10,7.6,21.2,1,2
44,4.7,4.0,5,28,36.2,6,6.0,6.5,0,0
